evaluation_index,plan,operator_id,operator_type,operator_location,input_rows,output_rows,bytes_received,bytes_sent,requests,execution_ms
54,LiveMetadataSemiJoin,history,HistoricalAVG,historical-source,0,0,0,0,0,0.000042
54,LiveMetadataSemiJoin,join,SemiJoin,coordinator,5,0,0,0,0,0.000000
55,CentralFetchAll,live,LiveWindow,live-source,24000,1200,96000,0,100,0.001250
55,CentralFetchAll,metadata,MetadataScan,metadata-source,100,50,3600,0,1,0.000042
55,CentralFetchAll,history,HistoricalScan,historical-source,1000000,1000000,80000000,0,100,0.000000
55,CentralFetchAll,join,HashJoin,coordinator,1250,1200,0,0,0,0.000000
56,AggregateAll,live,LiveWindow,live-source,24000,1200,96000,0,100,0.000750
56,AggregateAll,metadata,MetadataScan,metadata-source,100,50,3600,0,1,0.000000
56,AggregateAll,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000041
56,AggregateAll,join,HashJoin,coordinator,1250,1200,0,0,0,0.000042
57,LiveFirst,live,LiveWindow,live-source,24000,1200,96000,0,100,0.000750
57,LiveFirst,metadata,MetadataScan,metadata-source,100,50,3600,0,1,0.000000
57,LiveFirst,history,HistoricalAVG,historical-source,50000,5,240,0,5,0.000000
57,LiveFirst,join,HashJoin,coordinator,1250,1200,0,0,0,0.000000
58,MetadataFirst,live,LiveWindow,live-source,24000,1200,96000,0,50,0.000708
58,MetadataFirst,metadata,MetadataScan,metadata-source,100,50,3600,0,1,0.000042
58,MetadataFirst,history,HistoricalAVG,historical-source,500000,50,2400,0,50,0.000000
58,MetadataFirst,join,BindJoin,coordinator,1250,1200,0,0,0,0.000000
59,LiveMetadataSemiJoin,live,LiveWindow,live-source,24000,1200,96000,0,100,0.000709
59,LiveMetadataSemiJoin,metadata,MetadataScan,metadata-source,100,5,360,400,1,0.000042
59,LiveMetadataSemiJoin,keys,SemiJoin,coordinator,5,5,400,400,1,0.000042
59,LiveMetadataSemiJoin,history,HistoricalAVG,historical-source,50000,5,240,0,5,0.000041
59,LiveMetadataSemiJoin,join,SemiJoin,coordinator,10,5,0,0,0,0.000042
60,CentralFetchAll,live,LiveWindow,live-source,24000,1200,96000,0,100,0.001208
60,CentralFetchAll,metadata,MetadataScan,metadata-source,100,75,5400,0,1,0.000000
60,CentralFetchAll,history,HistoricalScan,historical-source,1000000,1000000,80000000,0,100,0.000000
60,CentralFetchAll,join,HashJoin,coordinator,1275,1200,0,0,0,0.000000
61,AggregateAll,live,LiveWindow,live-source,24000,1200,96000,0,100,0.002542
61,AggregateAll,metadata,MetadataScan,metadata-source,100,75,5400,0,1,0.000042
61,AggregateAll,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000042
61,AggregateAll,join,HashJoin,coordinator,1275,1200,0,0,0,0.000042
62,LiveFirst,live,LiveWindow,live-source,24000,1200,96000,0,100,0.002417
62,LiveFirst,metadata,MetadataScan,metadata-source,100,75,5400,0,1,0.000042
62,LiveFirst,history,HistoricalAVG,historical-source,50000,5,240,0,5,0.000042
62,LiveFirst,join,HashJoin,coordinator,1275,1200,0,0,0,0.000042
63,MetadataFirst,live,LiveWindow,live-source,24000,1200,96000,0,75,0.002334
63,MetadataFirst,metadata,MetadataScan,metadata-source,100,75,5400,0,1,0.000083
63,MetadataFirst,history,HistoricalAVG,historical-source,750000,75,3600,0,75,0.000041
63,MetadataFirst,join,BindJoin,coordinator,1275,1200,0,0,0,0.000041
64,LiveMetadataSemiJoin,live,LiveWindow,live-source,24000,1200,96000,0,100,0.002458
64,LiveMetadataSemiJoin,metadata,MetadataScan,metadata-source,100,5,360,400,1,0.000042
64,LiveMetadataSemiJoin,keys,SemiJoin,coordinator,5,5,400,400,1,0.000042
64,LiveMetadataSemiJoin,history,HistoricalAVG,historical-source,50000,5,240,0,5,0.000041
64,LiveMetadataSemiJoin,join,SemiJoin,coordinator,10,5,0,0,0,0.000042
65,CentralFetchAll,live,LiveWindow,live-source,24000,1200,96000,0,100,0.002708
65,CentralFetchAll,metadata,MetadataScan,metadata-source,100,100,7200,0,1,0.000042
65,CentralFetchAll,history,HistoricalScan,historical-source,1000000,1000000,80000000,0,100,0.000042
65,CentralFetchAll,join,HashJoin,coordinator,1300,1200,0,0,0,0.000042
66,AggregateAll,live,LiveWindow,live-source,24000,1200,96000,0,100,0.002334
66,AggregateAll,metadata,MetadataScan,metadata-source,100,100,7200,0,1,0.000042
66,AggregateAll,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000041
66,AggregateAll,join,HashJoin,coordinator,1300,1200,0,0,0,0.000042
67,LiveFirst,live,LiveWindow,live-source,24000,1200,96000,0,100,0.002167
67,LiveFirst,metadata,MetadataScan,metadata-source,100,100,7200,0,1,0.000042
67,LiveFirst,history,HistoricalAVG,historical-source,50000,5,240,0,5,0.000042
67,LiveFirst,join,HashJoin,coordinator,1300,1200,0,0,0,0.000042
68,MetadataFirst,live,LiveWindow,live-source,24000,1200,96000,0,100,0.002083
68,MetadataFirst,metadata,MetadataScan,metadata-source,100,100,7200,0,1,0.000042
68,MetadataFirst,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000041
68,MetadataFirst,join,BindJoin,coordinator,1300,1200,0,0,0,0.000042
69,LiveMetadataSemiJoin,live,LiveWindow,live-source,24000,1200,96000,0,100,0.002084
69,LiveMetadataSemiJoin,metadata,MetadataScan,metadata-source,100,5,360,400,1,0.000042
69,LiveMetadataSemiJoin,keys,SemiJoin,coordinator,5,5,400,400,1,0.000042
69,LiveMetadataSemiJoin,history,HistoricalAVG,historical-source,50000,5,240,0,5,0.000042
69,LiveMetadataSemiJoin,join,SemiJoin,coordinator,10,5,0,0,0,0.000042
70,CentralFetchAll,live,LiveWindow,live-source,24000,2400,192000,0,100,0.001250
70,CentralFetchAll,metadata,MetadataScan,metadata-source,100,1,72,0,1,0.000042
70,CentralFetchAll,history,HistoricalScan,historical-source,1000000,1000000,80000000,0,100,0.000042
70,CentralFetchAll,join,HashJoin,coordinator,2401,0,0,0,0,0.000042
71,AggregateAll,live,LiveWindow,live-source,24000,2400,192000,0,100,0.000834
71,AggregateAll,metadata,MetadataScan,metadata-source,100,1,72,0,1,0.000041
71,AggregateAll,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000042
71,AggregateAll,join,HashJoin,coordinator,2401,0,0,0,0,0.000041
72,LiveFirst,live,LiveWindow,live-source,24000,2400,192000,0,100,0.000708
72,LiveFirst,metadata,MetadataScan,metadata-source,100,1,72,0,1,0.000041
72,LiveFirst,history,HistoricalAVG,historical-source,100000,10,480,0,10,0.000042
72,LiveFirst,join,HashJoin,coordinator,2401,0,0,0,0,0.000041
73,MetadataFirst,live,LiveWindow,live-source,24000,0,0,0,1,0.000791
73,MetadataFirst,metadata,MetadataScan,metadata-source,100,1,72,0,1,0.000041
73,MetadataFirst,history,HistoricalAVG,historical-source,10000,1,48,0,1,0.000041
73,MetadataFirst,join,BindJoin,coordinator,1,0,0,0,0,0.000041
74,LiveMetadataSemiJoin,live,LiveWindow,live-source,24000,2400,192000,0,100,0.000750
74,LiveMetadataSemiJoin,metadata,MetadataScan,metadata-source,100,0,0,400,1,0.000042
74,LiveMetadataSemiJoin,keys,SemiJoin,coordinator,10,0,400,400,1,0.000042
74,LiveMetadataSemiJoin,history,HistoricalAVG,historical-source,0,0,0,0,0,0.000042
74,LiveMetadataSemiJoin,join,SemiJoin,coordinator,10,0,0,0,0,0.000041
75,CentralFetchAll,live,LiveWindow,live-source,24000,2400,192000,0,100,0.001083
75,CentralFetchAll,metadata,MetadataScan,metadata-source,100,5,360,0,1,0.000041
75,CentralFetchAll,history,HistoricalScan,historical-source,1000000,1000000,80000000,0,100,0.000042
75,CentralFetchAll,join,HashJoin,coordinator,2405,0,0,0,0,0.000041
76,AggregateAll,live,LiveWindow,live-source,24000,2400,192000,0,100,0.000958
76,AggregateAll,metadata,MetadataScan,metadata-source,100,5,360,0,1,0.000041
76,AggregateAll,history,HistoricalAVG,historical-source,1000000,100,4800,0,100,0.000000
76,AggregateAll,join,HashJoin,coordinator,2405,0,0,0,0,0.000041
