strategy,historical_sensors,historical_observations,historical_observations_per_sensor,live_sensors,live_fraction,repetition,random_seed,evaluation_time,total_latency_ms,historical_source_time_ms,coordinator_time_ms,historical_entities_looked_up,historical_records_scanned,historical_records_matched,historical_records_returned,live_records_processed,bytes_sent_to_historical_source,bytes_received_from_historical_source,total_bytes_transferred,source_requests,result_count,result_hash
fetch-all,100000,10000000,100,50000,0.50000000,1,7,3000000,9.477708,6.886750,2.590917,100000,10000000,10000000,10000000,50000,0,240000000,240600000,2,50000,3994464885379507475
fetch-all,100000,10000000,100,50000,0.50000000,2,7,3000000,10.186209,7.533375,2.652416,100000,10000000,10000000,10000000,50000,0,240000000,240600000,2,50000,3994464885379507475
aggregate-pushdown,100000,10000000,100,50000,0.50000000,0,7,3000000,10.050666,7.504083,2.546541,100000,10000000,10000000,100000,50000,0,1200000,1800000,2,50000,3994464885379507475
aggregate-pushdown,100000,10000000,100,50000,0.50000000,1,7,3000000,10.048375,7.455292,2.593083,100000,10000000,10000000,100000,50000,0,1200000,1800000,2,50000,3994464885379507475
aggregate-pushdown,100000,10000000,100,50000,0.50000000,2,7,3000000,9.736875,7.305750,2.431083,100000,10000000,10000000,100000,50000,0,1200000,1800000,2,50000,3994464885379507475
bind-join,100000,10000000,100,50000,0.50000000,0,7,3000000,14.148625,11.833000,2.315584,50000,5000000,5000000,50000,50000,200000,600000,1400000,2,50000,3994464885379507475
bind-join,100000,10000000,100,50000,0.50000000,1,7,3000000,14.088875,11.823042,2.265833,50000,5000000,5000000,50000,50000,200000,600000,1400000,2,50000,3994464885379507475
bind-join,100000,10000000,100,50000,0.50000000,2,7,3000000,14.194375,11.919917,2.274458,50000,5000000,5000000,50000,50000,200000,600000,1400000,2,50000,3994464885379507475
fetch-all,100000,10000000,100,75000,0.75000000,0,7,3000000,10.412292,6.709625,3.702792,100000,10000000,10000000,10000000,75000,0,240000000,240900000,2,75000,13791299219565850647
fetch-all,100000,10000000,100,75000,0.75000000,1,7,3000000,10.577834,6.815167,3.762750,100000,10000000,10000000,10000000,75000,0,240000000,240900000,2,75000,13791299219565850647
fetch-all,100000,10000000,100,75000,0.75000000,2,7,3000000,10.437166,6.730708,3.706458,100000,10000000,10000000,10000000,75000,0,240000000,240900000,2,75000,13791299219565850647
aggregate-pushdown,100000,10000000,100,75000,0.75000000,0,7,3000000,10.272417,6.617625,3.654875,100000,10000000,10000000,100000,75000,0,1200000,2100000,2,75000,13791299219565850647
aggregate-pushdown,100000,10000000,100,75000,0.75000000,1,7,3000000,11.214333,7.542208,3.672125,100000,10000000,10000000,100000,75000,0,1200000,2100000,2,75000,13791299219565850647
aggregate-pushdown,100000,10000000,100,75000,0.75000000,2,7,3000000,10.451458,6.794875,3.656958,100000,10000000,10000000,100000,75000,0,1200000,2100000,2,75000,13791299219565850647
bind-join,100000,10000000,100,75000,0.75000000,0,7,3000000,24.765500,20.698000,4.067541,75000,7500000,7500000,75000,75000,300000,900000,2100000,2,75000,13791299219565850647
bind-join,100000,10000000,100,75000,0.75000000,1,7,3000000,30.444833,25.306375,5.138417,75000,7500000,7500000,75000,75000,300000,900000,2100000,2,75000,13791299219565850647
bind-join,100000,10000000,100,75000,0.75000000,2,7,3000000,32.935417,26.760542,6.174834,75000,7500000,7500000,75000,75000,300000,900000,2100000,2,75000,13791299219565850647
fetch-all,100000,10000000,100,100000,1.00000000,0,7,3000000,17.243333,8.017208,9.226083,100000,10000000,10000000,10000000,100000,0,240000000,241200000,2,100000,17440586973807687071
fetch-all,100000,10000000,100,100000,1.00000000,1,7,3000000,12.688125,7.496125,5.192166,100000,10000000,10000000,10000000,100000,0,240000000,241200000,2,100000,17440586973807687071
fetch-all,100000,10000000,100,100000,1.00000000,2,7,3000000,12.209708,6.797042,5.412625,100000,10000000,10000000,10000000,100000,0,240000000,241200000,2,100000,17440586973807687071
aggregate-pushdown,100000,10000000,100,100000,1.00000000,0,7,3000000,13.375958,7.329125,6.046833,100000,10000000,10000000,100000,100000,0,1200000,2400000,2,100000,17440586973807687071
aggregate-pushdown,100000,10000000,100,100000,1.00000000,1,7,3000000,11.986000,6.866000,5.119958,100000,10000000,10000000,100000,100000,0,1200000,2400000,2,100000,17440586973807687071
aggregate-pushdown,100000,10000000,100,100000,1.00000000,2,7,3000000,12.632833,7.248750,5.384125,100000,10000000,10000000,100000,100000,0,1200000,2400000,2,100000,17440586973807687071
bind-join,100000,10000000,100,100000,1.00000000,0,7,3000000,32.604917,27.130334,5.474791,100000,10000000,10000000,100000,100000,400000,1200000,2800000,2,100000,17440586973807687071
bind-join,100000,10000000,100,100000,1.00000000,1,7,3000000,31.757417,26.361334,5.396000,100000,10000000,10000000,100000,100000,400000,1200000,2800000,2,100000,17440586973807687071
bind-join,100000,10000000,100,100000,1.00000000,2,7,3000000,31.042208,25.637167,5.405000,100000,10000000,10000000,100000,100000,400000,1200000,2800000,2,100000,17440586973807687071
